creator,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,observacoes_pesquisa,confianca_preenchimento
Ronchi,,,,,,,identificação incompleta; não foi possível desambiguar com segurança,
Rogério Bedim,Formação autodidata,,,https://www.youtube.com/watch?v=r6Zl0AAsKPw,,,A referência recuperada descreve o artista como autodidata.,baixa
Carlos Mendonça,Lisboa; Paris; Bélgica; Inglaterra,"Escola Veiga Beirão; estudos de dança com Ruth Asvin, Anna Mascolo e Isabel Santa Rosa; Estúdios Vaquer; estudos com Jacques Van de Veld; Ealing College of Art",estudos secundários; 1964 em diante para Ealing College of Art,https://pt.wikipedia.org/wiki/Carlos_Mendon%C3%A7a | https://www.bertrand.pt/autor/carlos-mendonca/3384784 | https://www.revistadadanca.com/2457/,https://pt.wikipedia.org/wiki/Carlos_Mendon%C3%A7a | https://www.bertrand.pt/autor/carlos-mendonca/3384784 | https://www.revistadadanca.com/2457/,https://pt.wikipedia.org/wiki/Carlos_Mendon%C3%A7a,"Formação artística combinada entre teatro, dança clássica e desenho/história do traje.",alta
Gladis Reveilleau,"São Paulo, SP",Fundação Armando Álvares Penteado (FAAP),,Galeria-Atelier Flory Menezes,Galeria-Atelier Flory Menezes,,formada em Artes Plásticas na FAAP; fonte também a descreve como figurinista; datas não localizadas,media
Vadinho Santa Rosa (atribuído),,,,,,,autoria atribuída/incerta; formação não localizada com segurança,
Levi Madeira,"Fortaleza, CE",Universidade Federal do Ceará (Medicina),1982-1988,https://www.recantodasletras.com.br/cordel/3507377 | https://www.recantodasletras.com.br/cordel/3507376,https://www.recantodasletras.com.br/cordel/3507376,https://www.recantodasletras.com.br/cordel/3507377 | https://www.recantodasletras.com.br/cordel/3507376,As fontes autobiográficas indicam aprovação em 1982 e formatura em 17/07/1988.,alta
Gerson Tavares,Rio de Janeiro; Europa,Escola Nacional de Belas Artes,1947,Folha dos Lagos,Folha dos Lagos,Folha dos Lagos,"ingressou no curso de pintura em 1947; depois obteve bolsa para a Europa, mas a instituição europeia não foi identificada",media
Paulo Franco,"São Paulo, Brasil",Faculdade de Belas Artes de São Paulo,1980s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,baixa
Wilson Alves,"Belo Horizonte, Brasil",Escola Guignard,1970s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,baixa
Hercules Araújo,,,,,,,formação não localizada com segurança,
Lair Gago,"Porto Alegre, Brasil",Instituto de Artes da UFRGS,1960s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,baixa
Carlos Lima,"formação autodidata; Cabo Frio, RJ",,começa a pintar em 1973,https://www.catalogodasartes.com.br/noticia/ABeU/,,https://www.catalogodasartes.com.br/noticia/ABeU/,"A fonte indica início da pintura incentivado por Carlos Scliar, sem escola formal nomeada.",media
Flávio,,,,,,,identificação incompleta; não foi possível desambiguar com segurança,
Oscar Pereira da Silva,"Rio de Janeiro; Paris, França",Academia Imperial de Belas Artes,1882–1887; 1889–1896,Wikipédia; Guia das Artes,Wikipédia,Wikipédia; Guia das Artes,em Paris estudou com Léon Bonnat e Jean-Léon Gérôme,media
G. Bruschetti,,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,
Tommaso Minardi,Faenza; Roma; Bolonha; Perugia,Accademia di San Luca; Accademia di Belle Arti di Bologna,1803–1810; c. 1810,Wikipedia; Aberystwyth University,Aberystwyth University; Wikipedia,Wikipedia,também foi aluno de Giuseppe Zauli e estudou no ateliê de Vincenzo Camuccini,media
"Antônio Correa e Castro, “Antonico”",,,,,,,formação não localizada com segurança,
Renata de Andrade,"Amsterdã, Holanda",Gerrit Rietveld Academie,,Museu Victor Meirelles; Germina,Museu Victor Meirelles; Germina,,"formou-se em pintura na Academia Rietveld; começou a estudar arte aos 29 anos, já na Holanda",media
José Constantino Benedito de Faria Barros,,,,,,,formação não localizada com segurança,
José Agostinho da Motta,Rio de Janeiro,Academia Imperial de Belas Artes,desde 1837,Revista Teresa/USP; Wikipédia,Revista Teresa/USP; Wikipédia,Revista Teresa/USP,matriculou-se na AIBA em 1837; depois tornou-se professor da instituição,alta
Edouard Vienot,"Paris, França",École des Beaux-Arts,desde 4 out. 1822,https://pt.wikipedia.org/wiki/%C3%89douard_Vi%C3%A9not ; https://artsandculture.google.com/entity/m05c3q8?hl=en,https://pt.wikipedia.org/wiki/%C3%89douard_Vi%C3%A9not ; https://artsandculture.google.com/entity/m05c3q8?hl=en,https://pt.wikipedia.org/wiki/%C3%89douard_Vi%C3%A9not ; https://artsandculture.google.com/entity/m05c3q8?hl=en,também é descrito como discípulo de Guérin e Hersent,alta
Elisa Kiyoko Gunz,"Porto Alegre, RS; Florianópolis, SC",Instituto de Artes da UFRGS; Programa de Pós-Graduação em Artes Visuais da UDESC,,UFRGS Lume; repositório UDESC; Escavador,UFRGS Lume; repositório UDESC; Escavador,,dissertação de mestrado na UFRGS e doutorado em Artes Visuais na UDESC concluído em 2021; graduação não localizada com segurança,media
Mariana Palma,"São Paulo, SP",Fundação Armando Álvares Penteado (FAAP),1998–2001,currículo da artista; Guia das Artes,currículo da artista; Guia das Artes,currículo da artista; Guia das Artes,bacharelado em Artes Plásticas,alta
Bettina Vaz Guimarães,"São Paulo, SP",Faculdade de Artes Plásticas da FAAP,1982,Artsoul; Guia das Artes,Artsoul; Guia das Artes,Artsoul; Guia das Artes,formação em Comunicação Visual/Artes Plásticas na FAAP; fontes convergem para 1982,alta
Aldo João Nunes,"Florianópolis, SC",Grupo Escolar Arquidiocesano São José; Instituto de Educação de Santa Catarina (IEE),1939–1944,MASC,MASC,MASC,estudos iniciais no Grupo Escolar Arquidiocesano São José; ingressou no IEE em 1939 e concluiu o curso normal em 1944,alta
Sérgio Luís de Castro Bonson,"Florianópolis, SC",Universidade Federal de Santa Catarina (História),1973,Quadrinhopédia; Museu Victor Meirelles,Quadrinhopédia; Museu Victor Meirelles,Quadrinhopédia,graduado em História pela UFSC; fontes o descrevem como artista plástico autodidata,media
Carlos Alberto Carneiro Asp,"Porto Alegre, RS; Florianópolis, SC",Universidade Federal do Rio Grande do Sul (Pintura e Gravura); CEART/UDESC (Educação Artística – Artes Plásticas),,MASC; UDESC,MASC; UDESC,,bacharel em Artes Plásticas pela UFRGS e licenciado em Educação Artística pelo CEART/UDESC; datas não localizadas,alta
Elke Hering Bell,"Blumenau, Brasil; Karlsruhe, Alemanha",Escola de Belas Artes de Karlsruhe,1950s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,formação artística mencionada em biografias sumárias,baixa
Charles Frederic Le Brun,Paris,ateliê de Simon Vouet; formação complementar com François Perrier,desde cerca dos 11 anos; sem cronologia completa na fonte,https://en.wikipedia.org/wiki/Charles_Le_Brun | https://www.britannica.com/biography/Charles-Le-Brun,https://en.wikipedia.org/wiki/Charles_Le_Brun | https://www.wikiart.org/en/charles-le-brun,https://en.wikipedia.org/wiki/Charles_Le_Brun,O creator parece corresponder a Charles Le Brun; mantida observação prudente sobre a variação do nome.,media
Hiedy de Assis Corrêa,"Curitiba, PR; Florianópolis, SC",autodidata,,MASC; DAC/UFSC,MASC; DAC/UFSC,,artista autodidata; sem formação escolar específica localizada,media
Aldo Beck,"Florianópolis, SC","formação com Manoel Francisco de Oliveira (""Maneca Margarida"")",,artigo UDESC; site do artista,artigo UDESC; site do artista,,formação artística informal com o mestre Maneca Margarida; escola/instituição não localizada,media
Paulo Renato Gaiad,"Florianópolis, Brasil",Universidade do Estado de Santa Catarina,1970s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,media
Pedro Augusto Simões Pires,"Rio de Janeiro, Brasil",Escola Nacional de Belas Artes,1930s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,baixa
Sérgio Ferro Pereira,São Paulo (SP),Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo (FAU-USP); Mackenzie; pós-graduação em museologia e evolução urbana na FAU-USP,formação concluída em 1962; pós-graduação concluída em 1965,https://www.escritoriodearte.com/artista/sergio-ferro | https://pt.wikipedia.org/wiki/S%C3%A9rgio_Ferro,https://www.escritoriodearte.com/artista/sergio-ferro | https://pt.wikipedia.org/wiki/S%C3%A9rgio_Ferro,https://www.escritoriodearte.com/artista/sergio-ferro | https://pt.wikipedia.org/wiki/S%C3%A9rgio_Ferro,Mantida a identificação completa do artista como Sérgio Ferro Pereira.,alta
Fernando Otávio Fuentes Lindote,"Florianópolis, Brasil",Universidade do Estado de Santa Catarina,1980s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,media
Pedro José Pinto Peres,Rio de Janeiro,Liceu de Artes e Ofícios do Rio de Janeiro; Academia Imperial de Belas Artes,c. 1865; 1868,Catálogo das Artes; Escritório de Arte; Wikipédia,Catálogo das Artes; Escritório de Arte; Wikipédia,Catálogo das Artes; Escritório de Arte; Wikipédia,chegou ao Brasil ainda criança e realizou sua formação artística no Rio de Janeiro,alta
[José Vieira Ottoni],,,,,,,identificação não confirmada na fonte original; formação não localizada com segurança,
Letícia Guimarães,"Belo Horizonte, Brasil",Escola Guignard,1990s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,baixa
Não identificada,,,,,,,autoria não identificada,
G. KENT,,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,
Frei Nazareno Confaloni,"Florença, Itália","estudo com Felice Carena, Maria Bacci e Primo Conti",s.d.,https://www.guiadasartes.com.br/nazareno-confaloni/biografia,https://www.guiadasartes.com.br/nazareno-confaloni/biografia,,"Fonte localizada menciona mestres e cidade, mas não uma instituição formal nem datas precisas.",baixa
Edgard Parreiras,"Rio de Janeiro, Brasil",Escola Nacional de Belas Artes,1930s–1940s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,formação associada ao meio acadêmico carioca; datas aproximadas,baixa
C. Bacchi,,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,
Caetano Luiz de Miranda,"Rio de Janeiro, Brasil",Academia Imperial de Belas Artes,século XIX,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,baixa
Manoel Teixeira da Rocha,"Bahia, Brasil",,,fontes biográficas de referência,,,não localizei escola formal; mantido apenas contexto geográfico da formação colonial,baixa
Manoel da Costa Ataíde (atribuição),,,,,,,autoria atribuída/incerta; formação não localizada com segurança,
Francisco Viriato de Freitas,,,,,,,formação não localizada com segurança,
Paul de Geslin,"Paris, França",École des Beaux-Arts / ateliê de Jean-Auguste-Dominique Ingres,1828,https://fr.wikipedia.org/wiki/Paul_de_Geslin,https://fr.wikipedia.org/wiki/Paul_de_Geslin,https://fr.wikipedia.org/wiki/Paul_de_Geslin,registro combina ingresso na escola e formação em ateliê,media
Joaquim José da Natividade,"Minas Gerais, Brasil",,século XVIII,fontes biográficas de referência,,fontes biográficas de referência,não localizei escola formal; formação colonial/oficinal,baixa
C. Castro,,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,
Alberto André Feijó Delpino,"Rio de Janeiro, Brasil",Escola Nacional de Belas Artes,1930s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,baixa
Carolus Duran,"Lille, França; Lille, França; Paris, França",Académie de Lille; ateliê de François Souchon; Académie Suisse,c. 1840s–1850s; c. 1850s; 1859–1861,https://pt.wikipedia.org/wiki/Carolus-Duran ; https://iamasf.org/art/artists/carolus-duran/,https://pt.wikipedia.org/wiki/Carolus-Duran ; https://iamasf.org/art/artists/carolus-duran/,https://pt.wikipedia.org/wiki/Carolus-Duran ; https://iamasf.org/art/artists/carolus-duran/,"formação combinando academia local, estudo em ateliê e frequência posterior à Académie Suisse",media
Luiza da Fonseca,"Rio de Janeiro, Brasil",Escola Nacional de Belas Artes,1940s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,baixa
Pedro Correia de Araújo,"Recife, Brasil",Liceu de Artes e Ofícios de Pernambuco,fim do século XIX,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,baixa
Caetano Luiz de Miranda (?),Arraial do Tijuco / Diamantina,provável formação com José Soares de Araújo,,https://www.academia.edu/73480294/Caetano_Luiz_de_Miranda_e_Andrea_Pozzo_circula%C3%A7%C3%A3o_de_modelos_e_ideias_no_Arraial_do_Tijuco | https://revista.uemg.br/index.php/linguagensnasartes/article/view/5285,https://www.academia.edu/73480294/Caetano_Luiz_de_Miranda_e_Andrea_Pozzo_circula%C3%A7%C3%A3o_de_modelos_e_ideias_no_Arraial_do_Tijuco | https://revista.uemg.br/index.php/linguagensnasartes/article/view/5285,,As fontes acadêmicas abertas usam formulação de incerteza ('provavelmente foi discípulo'); mantive baixa confiança.,baixa
M. Braçal,,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,
"Antônio Francisco Lisboa, Aleijadinho (atribuição)","Ouro Preto (Vila Rica), MG",oficina de Manuel Francisco Lisboa; Seminário dos Franciscanos Donatos do Hospício da Terra Santa,c. 1750–1759,BNDigital; Wikipédia,BNDigital; Wikipédia,Wikipédia,aprendizado inicial na oficina do pai e do tio; fontes também indicam frequência ao seminário; registro do acervo está como atribuição,media
Adolfo Matarelli,"São Paulo, Brasil; Roma, Itália",Liceu de Artes e Ofícios de São Paulo; Accademia di Belle Arti di Roma,1910s; 1920s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,media
Estanislau Antônio de Miranda (?),,,,,,,identificação incerta; formação não localizada com segurança,
A.Guedes,,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,
Castan C.,,,,,,,identificação incompleta; não foi possível desambiguar com segurança,
Ciça Santos,,,,,,,identificação parcial; não foi possível desambiguar com segurança,
João Nepomuceno Correia e Castro (atribuição),,,,,,,autoria atribuída/incerta; formação não localizada com segurança,
Lucia Casas de Pilla,,,,,,,formação não localizada com segurança,
Honório Esteves,"Ouro Preto, MG; Rio de Janeiro",escola de desenho de August Chenot; Liceu Mineiro; Academia Imperial de Belas Artes,1873; desde agosto de 1883,Wikipédia; artigo UFMG,Wikipédia; artigo UFMG,Wikipédia,iniciou aprendizado com August Chenot e como moedor de tintas de Cardoso Rezende; cursou desenho no Liceu Mineiro e depois a AIBA,alta
P. Meytre,,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,
Jarbas Juarez Antunes,"Porto Alegre, Brasil",Instituto de Artes da UFRGS,1960s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,baixa
J. Janssens | Martinho (padre),,,,,,,autoria múltipla/ambígua; formação não localizada com segurança,
Vicente José de Micolta (atribuição),,,,,,,autoria atribuída/incerta; formação não localizada com segurança,
Francisco Xavier Carneiro,"Minas Gerais, Brasil",,século XVIII,fontes biográficas de referência,,fontes biográficas de referência,não localizei escola formal; formação colonial/oficinal,baixa
Abreu,,,,,,,identificação incompleta; não foi possível desambiguar com segurança,
Alberto da Veiga Guignard,"Munique, Alemanha; Florença, Itália",Academias de Belas Artes de Munique,,Wikipédia,Wikipédia,,"estudos em Florença localizados, mas sem nome formal da instituição no trecho consultado",media
Georg Grimm,"Munique, Alemanha",Academia de Belas Artes de Munique,1868–1870,https://pt.wikipedia.org/wiki/Georg_Grimm,https://pt.wikipedia.org/wiki/Georg_Grimm,https://pt.wikipedia.org/wiki/Georg_Grimm,A fonte consultada também menciona viagens de estudo posteriores.,media
Arnaud Julien Pallière,"Paris, França",estudo de retrato e pintura histórica em Paris,1805,https://front.master.enciclopedia-ic.org/pessoa22523/arnaud-julien-palliere,https://front.master.enciclopedia-ic.org/pessoa22523/arnaud-julien-palliere,https://front.master.enciclopedia-ic.org/pessoa22523/arnaud-julien-palliere,"A fonte confirma a formação em Paris, mas não nomeia a instituição de ensino.",baixa
A. Bierry,,,,,,,assinatura abreviada; não foi possível desambiguar com segurança,
Friderico Pusthow G.,,,,,,,identificação incompleta; não foi possível desambiguar com segurança,
Romano Vicente (atribuição),,,,,,,autoria atribuída/incerta; formação não localizada com segurança,
Henry Lieutenant Chamberlain,"Londres, Reino Unido","Royal Military Academy, Woolwich",até c. 1815,https://en.wikipedia.org/wiki/Henry_Chamberlain_(artist),https://en.wikipedia.org/wiki/Henry_Chamberlain_(artist),https://en.wikipedia.org/wiki/Henry_Chamberlain_(artist),formação militar anterior à prática artística; não localizei escola de arte formal,media
Victor Pinto,"Rio de Janeiro, Brasil",Escola Nacional de Belas Artes,1940s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,datas aproximadas,baixa
Julius L. Stewart,"Paris, França",École des Beaux-Arts,c. 1870s,https://en.wikipedia.org/wiki/Julius_LeBlanc_Stewart ; https://www.artnet.com/artists/julius-leblanc-stewart/,https://en.wikipedia.org/wiki/Julius_LeBlanc_Stewart ; https://www.artnet.com/artists/julius-leblanc-stewart/,https://en.wikipedia.org/wiki/Julius_LeBlanc_Stewart ; https://www.artnet.com/artists/julius-leblanc-stewart/,"também estuda com Eduardo Zamacois, Jean-Léon Gérôme e Raimundo de Madrazo",media
João Lopes Maciel (atribuição),,,,,,,autoria atribuída/incerta; formação não localizada com segurança,
François René Moreaux,França,estudo com Antoine-Jean Gros,antes de 1837,https://enciclopedia.itaucultural.org.br/pessoas/6880-francois-rene-moreaux,https://enciclopedia.itaucultural.org.br/pessoas/6880-francois-rene-moreaux,https://enciclopedia.itaucultural.org.br/pessoas/6880-francois-rene-moreaux,"a fonte confirma formação em pintura histórica com Gros, sem indicar escola formal",alta
Silvano Bozzolini,"Florença, Itália; Paris, França",Accademia di Belle Arti di Firenze; École des Beaux-Arts,anos 1930; 1947,Hanina Fine Arts biography; gallery Champetier,Hanina Fine Arts biography; gallery Champetier,Hanina Fine Arts biography; gallery Champetier,,media
Bramante Buffoni,"Milão, Itália",Accademia di Brera,c. 1930s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição de formação associada à carreira gráfica em Milão,media
Corrado Cagli,"Roma, Itália",Accademia di Belle Arti,s.d.,https://it.wikipedia.org/wiki/Corrado_Cagli,https://it.wikipedia.org/wiki/Corrado_Cagli,,"Fontes consultadas confirmam a academia, mas não trouxeram datas precisas nesta passada.",baixa
Massimo Campigli,"Florença, Itália",Universidade de Florença,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,formação universitária anterior à carreira artística,baixa
Giuseppe Capogrossi,"Roma, Itália; Roma, Itália",La Sapienza; Libera Scuola di Nudo de Felice Carena,até 1922; 1923–1924,https://it.wikipedia.org/wiki/Giuseppe_Capogrossi ; https://emporiumart.com/en-pt/pages/giuseppe-capogrossi-biography,https://it.wikipedia.org/wiki/Giuseppe_Capogrossi ; https://emporiumart.com/en-pt/pages/giuseppe-capogrossi-biography,https://it.wikipedia.org/wiki/Giuseppe_Capogrossi ; https://emporiumart.com/en-pt/pages/giuseppe-capogrossi-biography,Há confirmação convergente entre fontes sobre Direito e estudo de pintura com Felice Carena.,media
Felice Carena,"Turim, Itália",Accademia Albertina,,https://en.wikipedia.org/wiki/Felice_Carena,https://en.wikipedia.org/wiki/Felice_Carena,,"Fonte confirma estudos na Accademia Albertina em Turim, sem datas precisas localizadas nesta passada.",media
Carlo Carrà,"Milão, Itália",Accademia di Brera,1906,https://www.britannica.com/biography/Carlo-Carra,https://www.britannica.com/biography/Carlo-Carra,https://www.britannica.com/biography/Carlo-Carra,Fontes consultadas indicam estudo breve na academia e forte componente autodidata.,media
Felice Casorati,"Pádua, Itália",Universidade de Pádua,até 1906,https://en.wikipedia.org/wiki/Felice_Casorati,https://en.wikipedia.org/wiki/Felice_Casorati,https://en.wikipedia.org/wiki/Felice_Casorati,A formação localizada com segurança nesta passada é em Direito; estudos artísticos posteriores apareceram de forma menos estável entre fontes.,media
Bruno Cassinari,"Piacenza, Itália; Milão, Itália; Milão, Itália; Milão, Itália",Istituto Gazzola; Umanitaria; escola do Castello Sforzesco; Accademia di Brera,c. 1920s; c. 1920s; c. 1920s; 1934–1938,https://galleriamichelangelo.it/en/artista/275/bruno-cassinari/bio,https://galleriamichelangelo.it/en/artista/275/bruno-cassinari/bio,https://galleriamichelangelo.it/en/artista/275/bruno-cassinari/bio,Biografia de galeria documenta a sequência formativa em Piacenza e Milão e explicita o período da Brera.,media
Marc Chagall,"Vitebsk, Belarus; São Petersburgo, Rússia",escola de Iouri Pen; Zvantseva School of Drawing and Painting,1906; 1908–1910,https://www.marcchagall.com/en/biography ; https://www.marcchagall.com/fr/biographie,https://www.marcchagall.com/en/biography ; https://www.marcchagall.com/fr/biographie,https://www.marcchagall.com/en/biography ; https://www.marcchagall.com/fr/biographie,Educação religiosa inicial (heder) e ensino geral não foram priorizados aqui; foco na formação artística.,alta
Fabrizio Clerici,"Roma, Itália",Scuola Superiore di Architettura,até 1937,Fabrizio Clerici official biography; European Parliament art collection,Fabrizio Clerici official biography; European Parliament art collection,Fabrizio Clerici official biography; European Parliament art collection,,alta
Antonio Corpora,"Túnis, Tunísia",Tunis Institute of Fine Arts,c. 1920s–1929,https://artsandculture.google.com/entity/g120n2xv9,https://artsandculture.google.com/entity/g120n2xv9,https://artsandculture.google.com/entity/g120n2xv9,Fonte indica formação no instituto de belas-artes de Túnis sob Armand Vergeaud antes da ida a Paris.,media
Francesco Cristofanetti,"Turim, Itália",Accademia Albertina,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em fontes sumárias,baixa
José Luis Cuevas,"Cidade do México, México; Cidade do México, México","Escuela Nacional de Pintura, Escultura y Grabado ""La Esmeralda""; Institución de Enseñanza Universitaria",c. 1944–1946; s.d.,https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Cuevas ; https://www.annexgalleries.com/artists/biography/482,https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Cuevas ; https://www.annexgalleries.com/artists/biography/482,https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Cuevas,Estudos interrompidos por doença; data exata da segunda instituição não foi localizada nesta passada.,media
Modesto Cuixart,"Barcelona, Espanha; Paris, França",Acadèmia Lliure de Pintura de Barcelona; universidade em Paris,c. 1940s; c. 1950,https://es.wikipedia.org/wiki/Modest_Cuixart,https://es.wikipedia.org/wiki/Modest_Cuixart,https://es.wikipedia.org/wiki/Modest_Cuixart,"Biografia confirma academia livre em Barcelona e frequência universitária em Paris, sem detalhar a instituição parisiense.",baixa
Giorgio De Chirico,"Atenas, Grécia; Munique, Alemanha","Athens School of Fine Arts; Academy of Fine Arts, Munich",1903–1906; 1906–1909,https://www.onassis.org/people/giorgio-de-chirico,https://www.onassis.org/people/giorgio-de-chirico,https://www.onassis.org/people/giorgio-de-chirico,Preenchimento com base em biografia institucional.,alta
Ernesto de Fiori,"Munique, Alemanha",Königliche Akademie der Bildenden Künste,1903–1905,https://enciclopedia.itaucultural.org.br/pessoas/3015-ernesto-de-fiori,https://enciclopedia.itaucultural.org.br/pessoas/3015-ernesto-de-fiori,https://enciclopedia.itaucultural.org.br/pessoas/3015-ernesto-de-fiori,A Enciclopédia Itaú Cultural informa estudos de desenho em Munique com Gabriel von Hackl na Real Academia.,alta
