Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth
Boris Seewald,Germany,Filmarche | Berlin University,,,,,male,Numeridanse,médio,Biografia do Numeridanse informa estudos de direção na Filmarche e film studies na Berlin University. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,18; place_of_birth_lote_01; place_of_birth_lote_09,,
Brandon Blommaert,Canada,Alberta College of Art and Design,,"Edmonton, Alberta, Canada",,,male,FILE Festival,médio,Biografia do FILE informa formatura em 2005 no programa Print Media.,8; place_of_birth_lote_01,Animafest / FILE Festival,alto
Camilo Colmenares,Colombia,National University of Colombia | Academy of Media Arts Cologne,,"Bogotá, Colombia",,,male,Animafest | KHM | FILE Festival,médio,Fonte externa robusta informa graduação na Film School of the National University of Colombia e pós-graduação na KHM.,8; place_of_birth_lote_01,ISM ISM ISM / Deutsche Biographie,alto
Carlos Franklin,Colombia,Universidad de los Andes | Le Fresnoy - Studio national des arts contemporains,,Colombia,,,male,FMSH | FILE Festival,alto,Fontes convergentes explicitam formação em Belas Artes e mestrado em artes audiovisuais.,10; place_of_birth_lote_01,FMSH / FILE Festival,alto
Christian Larrave,United States,Rhode Island School of Design,,,,,male,FILE Festival (biografia do artista),médio,place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,2; place_of_birth_lote_01; place_of_birth_lote_09,,
Clayton Shonkwiler,United States,University of Pennsylvania,,,,,male,,,place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,place_of_birth_lote_01; place_of_birth_lote_09,,
Colin Potter,United Kingdom,,,"York, United Kingdom",,,male,,,Biografias consultadas não nomeiam instituição de ensino; mantido em branco. | revisto no lote_30: sem instituição explicitamente nomeada em fonte confiável localizada,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_02,Musichearts / Last.fm,médio
Cristiano Panepuccia,Italy,,,"Rome, Italy",,,male,,,Fonte consultada descreve artista autodidata; sem instituição formal identificada. | revisto no lote_30: fonte do FILE informa que é autodidata,nova_tentativa_01; lote_21; lote_30; place_of_birth_lote_01,APOTROPIA / FILE Festival,alto
Célia Fernandes,Brazil,"Faculty of Pharmacy, University of Lisbon",,,,,female,,,place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,place_of_birth_lote_01; place_of_birth_lote_09,,
,,"Faculty of Pharmacy, University of Lisbon",,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
,,Instituto Superior de Engenharia de Lisboa,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Dalia Omran,Egypt,Cairo University Kasr Alainy  Faculty of Medicine,,,,,female,,,place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,place_of_birth_lote_01; place_of_birth_lote_09,,
Daniel Barreto,Mexico,Imperial College London,,"Guadalajara, Mexico",,,male,,,,place_of_birth_lote_01,site oficial do artista,alto
,,Imperial College London,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Daniel Suljic,Croatia,Academy of Fine Arts in Zagreb | University of Applied Arts Vienna,,"Zagreb, Croatia",,,male,Animafest,médio,Biografia de festival informa estudos na Academy of Fine Arts em Zagreb e graduação em painting/animation na University of Applied Arts Vienna.,19; place_of_birth_lote_02,Animafest / IMDb,alto
David Carson,United Kingdom,San Diego State University,,"Corpus Christi, Texas, USA",,,male,site oficial David Carson Design,alto,Biografia oficial explicita graduação com honors and distinction em Sociology na San Diego State University.,20; place_of_birth_lote_02,Britannica / Wikipedia,alto
David O'Reilly,Ireland,"Dublin Institute of Art, Design and Technology (DLIADT)",,"Kilkenny, Ireland",,,male,ZKM,médio,Fonte institucional informa estudo de animação na DLIADT por um ano; o artista também se descreve como majoritariamente autodidata.,nova_tentativa_01; place_of_birth_lote_02,YveYANG Gallery / Wikipedia,alto
Denys Voloshyn,Ukraine,,,,,,male,,,Biografias consultadas não nomeiam instituição de ensino; mantido em branco. | revisto no lote_30: sem instituição explicitamente nomeada em fonte confiável localizada | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_01; place_of_birth_lote_09,,
Dimitri Venkov,Russia,University of Oregon,,"Moscow, Russia",,,male,,,,place_of_birth_lote_02,Triumph Gallery / Kandinsky Prize,alto
Dina Velikovskaya,Russia,Moscow State Academic Art School in Memory of 1905 | Gerasimov Institute of Cinematography (VGIK) | High Animation School-Studio SHAR,,"Moscow, Russia",,,female,FILE Festival,médio,"Biografia do FILE explicita formações concluídas em 2005, 2011 e 2015 em três instituições de Moscou.",14; place_of_birth_lote_02,site oficial da artista / FILE Festival,alto
Emma Vakarelova,Bulgaria,Ilia Petrov National High School of Fine Arts | Estienne School | Royal Academy of Fine Arts | European School of Higher Education in Image (EESI) | La Poudrière,,"Sofia, Bulgaria",,,female,site oficial da artista,médio,"Página oficial explicita formação em Sofia, Paris, Bruxelas, Angoulême e Valence.",18; place_of_birth_lote_02,site oficial da artista / FILE Festival,alto
Faith Holland,United States,Vassar College | School of Visual Arts,,"New York, New York, USA",,,female,Pratt Institute,alto,"Perfil docente do Pratt explicita BA em Media Studies pelo Vassar College e MFA em Photography, Video, and Related Media pela School of Visual Arts. | place of birth preenchido como New York, NY com base em CV institucional da Microscope Gallery; fonte secundária divergente menciona Hudson Valley, New York.",18; place_of_birth_lote_02,Microscope Gallery (CV da artista),médio
Fernanda Ramos,,Escola de Comunicações e Artes da Universidade de São Paulo,,,,,,FILE Festival,médio,Biografia do FILE explicita bacharelado em Cinema e Vídeo pela ECA-USP. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,20; place_of_birth_lote_01; place_of_birth_lote_09,,
Francesca Fini,Italy,IED European Institute | Istituto Quasar Design University,,"Rome, Italy",,,female,entrevista VIP - VideoChannel Interview Project,baixo,"A própria artista declara, em entrevista, ter estudado no IED European Institute e no Istituto Quasar Design University, em Roma.",18; place_of_birth_lote_01,site oficial da artista,alto
Francesca Leoni,Italy,University of North Carolina Wilmington,,Italy,,,female,FILE Festival,médio,Biografia do FILE explicita graduação em Estudos de Comunicação na University of North Carolina Wilmington.,20; place_of_birth_lote_01,FILE Festival / Celeste Network,alto
Hugo de Faucompret,France,Gobelins,,"Normandy, France",,,male,,,,place_of_birth_lote_02,Transmettre le cinéma,alto
Håkan Lidbo,Sweden,,,"Malmö, Sweden",,,male,,,Biografias consultadas não nomeiam instituição de ensino; mantido em branco. | revisto no lote_30: sem instituição explicitamente nomeada em fonte confiável localizada,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_02,Wikipedia / Discogs,médio
Isabelle Arvers,France,Institute of Political Studies in Aix-en-Provence | Paris 8 University,,"Paris, France",,,female,biografia oficial / Wikipédia,médio,As fontes convergem para graduação no Institute of Political Studies in Aix-en-Provence e diploma de pós-graduação em gestão de projetos culturais pela Paris 8 University.,19; place_of_birth_lote_01,site oficial da artista / Wikipédia,alto
,,Paul Cézanne University,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Jake Fried,United States,Rhode Island School of Design (summer classes) | Maryland Institute College of Art | Boston University,,,,,male,LBBOnline (entrevista com o artista),médio,"A entrevista explicita aulas de verão na RISD, estudos de pintura na MICA e de História da Arte na Boston University. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.",nova_tentativa_01; place_of_birth_lote_01; place_of_birth_lote_09,,
Jan Goldfuß,Germany,Bauhaus-University Weimar | Academy of Media Arts Cologne,,"Erlangen, Germany",,,male,FILE Festival | site do artista,médio,As fontes convergem para diploma em Media-Design na Bauhaus-University Weimar e pós-graduação em Media-Art na Academy of Media Arts Cologne.,20; place_of_birth_lote_01,site do artista / Frischzelle Festival,alto
Jeanette Nørgaard,Kingdom of Denmark,The Animation Workshop,,"Struer, Denmark",,,female,DAFilms,médio,Biografia informa frequência de 2003 a 2009 e graduação BA em Character Animation em 2009.,nova_tentativa_01; place_of_birth_lote_01,FILE Festival / Girls in Film,alto
Jerry Galle,Belgium,KASK School of Arts,,"Antwerp, Belgium",,,male,site oficial do artista,médio,"A fonte explicita projeto de pesquisa doutoral em KASK, Ghent, entre 2006 e 2012.",nova_tentativa_01; place_of_birth_lote_01,NW Aalst / KASK,alto
John Barber,United States,Indiana University of Pennsylvania | University of Alabama at Birmingham,,,,,male,CV/website oficial de John F. Barber,média,Desambiguado como John F. Barber pela participação no FILE; CV oficial explicita Ph.D. na Indiana University of Pennsylvania (1995) e M.A. na University of Alabama at Birmingham (1984). | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_01; place_of_birth_lote_09,,
Jonathan Monaghan,United States,New York Institute of Technology | University of Maryland,,"Rockaway Beach, Queens, New York, USA",,,male,bitforms gallery,médio,Biografia de galeria explicita BFA em 2008 e MFA em 2011.,19; place_of_birth_lote_02,Wikipedia / IMDb,médio
Juan Carlos Vasquez,Colombia,Sibelius Academy | Aalto University | University of Virginia,,"Santiago de Cali, Colombia",,,male,site oficial do artista,alto,Biografia oficial explicita as três instituições.,nova_tentativa_01; place_of_birth_lote_02,Wikipedia,médio
Jurgen Trautwein,Germany,University of the Arts Berlin,,"Bruchsal, Germany",,,male,Project Space Byi,médio,Fonte explicita mestrado na University of the Arts Berlin.,nova_tentativa_01; place_of_birth_lote_01,site oficial do artista / Galerie Marek Kralewski,alto
Kai Welf Hoyme,Germany,Academy of Media Arts Cologne (KHM) | Ruhr-University of Bochum,,"Mönchengladbach, Germany",,,male,site oficial do artista,alto,,nova_tentativa_01; place_of_birth_lote_01,site oficial do artista / FILE Festival,alto
Karoline Georges,Canada,Université du Québec à Montréal,,"Montreal, Quebec, Canada",,,female,,,,place_of_birth_lote_02,FILE Festival / Wikipedia,alto
,,Université du Québec à Chicoutimi,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Katarina Lundquist,Norway,The Animation Workshop,,Norway,,,female,,,,place_of_birth_lote_01,Animafest / FILE Festival,alto
Kazuhiro Goshima,Japan,Kyoto Institute of Technology,,"Shizuoka Prefecture, Japan",,,male,transmediale,médio,Fonte institucional de festival informa graduação pelo Kyoto Institute of Technology.,19; place_of_birth_lote_01,site oficial do artista / FILE Festival,alto
Keigo Matsumoto,Japan,University of Tokyo,,,,,male,,,place of birth: biografias consultadas não explicitam local de nascimento; mantido em branco.,place_of_birth_lote_02,,
Kevin Welsh,United States,Savannah College of Art and Design,,,,,male,FILE Festival,médio,A fonte explicita bacharelado em gravura em 2015. | place of birth: local de nascimento não localizado em fonte confiável.,7; place_of_birth_lote_02,,
Kuesti Fraun,Germany,,,Germany,,,male,,,"Biografia do FILE informa estudos em teatro e cinema, sem nomear instituição. | revisto no lote_30: fonte do FILE menciona estudos em teatro e cinema, sem instituição nomeada | place of birth localizado apenas no nível de país.",nova_tentativa_01; lote_21; lote_30; place_of_birth_lote_02,FilmFreeway / IMDb,médio
Lei Han,,Shenzhen University | Memphis College of Art,,,,,,CURRENTS New Media,médio,Biografia do CURRENTS explicita BA pela Shenzhen University e MFA pelo Memphis College of Art. | place of birth: local de nascimento não localizado em fonte confiável.,18; place_of_birth_lote_02,,
Liliana Farber,Uruguay,"Parsons School of Design | Hamidrasha School of Art, Beit Berl College | O.R.T. University",,"Montevideo, Uruguay",,,female,NYU The Latinx Project,alto,,2; place_of_birth_lote_02,FILE Festival / site oficial da artista,alto
Lindsay Grace,United States,Northwestern University School of Engineering | Northwestern University | Boston Security Analysts Society,,,,,male,CV oficial de Lindsay Grace,médio,"CV explicita MS in Computer Information Systems na Northwestern University School of Engineering, BA in English na Northwestern University e formação básica CFA na Boston Security Analysts Society. | place of birth: local de nascimento não localizado em fonte confiável.",18; place_of_birth_lote_02,,
Lori Malépart-Traversy,Canada,Concordia University,,"Montreal, Canada",,,female,FILE Festival,médio,"Biografia do FILE explicita estudos em Animação na Concordia University, com conclusão em 2016.",20; place_of_birth_lote_02,FILE Festival / Coalition ÉduSex,alto
Lynn Bianchi,United States,,,"Pittsburgh, Pennsylvania, USA",,,female,,,Biografias consultadas não nomeiam instituição de ensino; mantido em branco. | revisto no lote_30: sem instituição explicitamente nomeada em fonte confiável localizada,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_02,Dayton Art Institute / Wikipedia,alto
Manuela Naveau,Austria,University of Art and Design Linz,,"Linz, Austria",,,female,CV oficial da artista / University of Art and Design Linz,alto,,2; place_of_birth_lote_02,Kunstuniversität Linz / site oficial,alto
Marcin Giżycki,Poland,University of Warsaw,,"Warsaw, Poland",,Warsaw,male,,,,place_of_birth_lote_02,Wikipedia / IMDb,médio
Maxim Zhestkov,Russia,Ulyanovsk State University,,"Ulyanovsk, Russia",,,male,FILE Festival | Artsy,médio,FILE confirma estudos universitários em arquitetura e artes; Artsy nomeia a Ulyanovsk State University.,nova_tentativa_02; place_of_birth_lote_02,Wikipedia,médio
Merlin Flügel,Germany,University of Art and Design Offenbach,,"Naila, Germany",,,male,FILE Festival,médio,Página do FILE explicita formatura pela University of Art and Design Offenbach em 2018.,18; place_of_birth_lote_02,FILE Festival / Folkwang Universität,alto
Miao Jing,People's Republic of China,Peking University,,"Chongqing, China",,,male,,,,place_of_birth_lote_02,site oficial do artista / A4 Art Museum,alto
Michael Takeo Magruder,United States,University of Virginia,,United States,,,male,CV oficial / FILE Festival,alto,"CV e biografia do FILE convergem para BS/Hons em Biological Science pela University of Virginia, concluído em 1996. | local de nascimento identificado apenas em nível de país.",19; place_of_birth_lote_03; place_of_birth_lote_09,CV oficial / Ben Uri Research Unit,médio
Miki Del Prete,Italy,,,Bari,,,male,,,Biografias consultadas não nomeiam instituição de ensino; mantido em branco. | revisto no lote_30: sem instituição explicitamente nomeada em fonte confiável localizada,nova_tentativa_02; lote_21; lote_30,,
Morehshin Allahyari,Iran,University of Tehran | University of Denver | University of North Texas,Kurds,Tehran,,,female,CV da artista,médio,"CV recuperado em fonte de exposição lista BA em Social Science and Media Studies, MA em Digital Media Studies e MFA em New Media Art.",19,,
,,University of Tehran,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
,,University of North Texas,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Moritz Reichartz,Germany,Academy of Fine Arts Stuttgart,,,,,male,FILE Festival,médio,Biografia do FILE explicita diploma em estudos de arquitetura e design pela Academy of Fine Arts Stuttgart. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,20; place_of_birth_lote_03; place_of_birth_lote_09,,
Nathan Jurevicius,Australia,University of South Australia,,"Bordertown, South Australia, Australia",,,male,entrevista/artigo de perfil (Alison Peters; XLR8R),baixa,A formação em design/ilustração na University of South Australia aparece em entrevistas/perfis; não localizei confirmação institucional direta nesta rodada.,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_03,AustLit / Vinyl Creep,médio
Nicola Giannini,Italy,University of Pisa,,,,,male,,,place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,place_of_birth_lote_03; place_of_birth_lote_09,,
,,University of Pisa,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Nikita Diakur,Russia,Royal College of Art,,Russia,,,male,FILE Festival,médio,"Biografia do FILE explicita estudo de animação no Royal College of Art, em Londres.",18; place_of_birth_lote_03,FILE Festival / Re-Imagine Europe,alto
Philipp Artus,Germany,École des Beaux Arts in Nantes | Academy of Media Arts Cologne,,Bremen,,,male,site oficial do artista,alto,Página oficial explicita formação na École des Beaux Arts em Nantes e pós-graduação na Academy of Media Arts Cologne.,20,,
Ricardo Dal Farra,Argentina,Université du Québec à Montréal,,Buenos Aires,,,male,Daniel Langlois Foundation,alto,Biografia da fundação explicita PhD em Étude et pratiques des arts pela Université du Québec à Montréal.,18,,
Ricardo de Armas,Argentina,Vicentina de la Torre Arts Academy | Instituto Superior de Arte,,Buenos Aires,,,male,site oficial do artista,médio,Biografia informa graduação em 1996 na Vicentina de la Torre Arts Academy e continuidade da formação no Instituto Superior de Arte em 2001.,nova_tentativa_01,,
Rino Stefano Tagliafierro,Italy,"ISIA Urbino | IED – European Institute of Design, Milan",,"Piacenza, Italy",,,male,site oficial do artista,alto,Biografia oficial explicita graduação no ISIA de Urbino e no IED em Milão.,20; place_of_birth_lote_03; place_of_birth_lote_09,biografia pública / página profissional,médio
Robert Becker,,École des arts décoratifs de Strasbourg | Académie Européenne d’Art de Trèves,,"Sarreguemines, Lorraine, France",,,,arts-direct,médio,,nova_tentativa_02; place_of_birth_lote_03; place_of_birth_lote_09,arts-direct.com,médio
Rodrigo Rezende,Brazil,Faculdade Impacta de Tecnologia | Universidade Estadual Paulista Júlio de Mesquita Filho (Unesp),,,,,male,site oficial do artista,médio,place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,2; place_of_birth_lote_03; place_of_birth_lote_09,,
Rune Spaans,Norway,,,,,,male,,,Biografias consultadas não nomeiam instituição de ensino; mantido em branco. | revisto no lote_30: sem instituição explicitamente nomeada em fonte confiável localizada | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_03; place_of_birth_lote_09,,
Samuel Fouracre,United Kingdom,Royal College of Art,,United Kingdom,,,male,FILE Festival,médio,"Biografia do FILE explicita bacharelado em artes pelo Royal College of Art, Londres, em 2009.",13; place_of_birth_lote_03,FILE Festival / IMDb,alto
Sangjun Yoo,,University of Ulsan College of Medicine,,"Seoul, South Korea",,,male,,,,place_of_birth_lote_03,about.me / SEA Foundation,médio
Shirin Abedinirad,Iran,Shariaty Technical College | Michigan State University,,Tabriz,,,female,FILE Festival | site oficial da artista,alto,FILE nomeia estudos em design gráfico e design de moda na Shariaty Technical College; site oficial acrescenta o MFA pela Michigan State University.,nova_tentativa_02,,
Sofia Pashaei,Sweden,The Animation Workshop,,Sweden,,,female,FILE Festival,médio,"Biografia do FILE explicita graduação recente no The Animation Workshop, com especialização em animação de personagens.",13; place_of_birth_lote_03,Willow Art Space,alto
Sonia Paço-Rocchia,Canada,Université de Montréal,,Montreal,,,female,,,,,,
Stefano Delle Monache,Italy,Catholic University of Milan | IUAV University of Venice | Conservatory of Como,,Padua,,,male,FILE Festival,médio,Biografia do FILE explicita as três formações; fontes externas homônimas com dados conflitantes foram descartadas.,nova_tentativa_02,,
Tamiko Thiel,United States,"Stanford University | Massachusetts Institute of Technology | Academy of Fine Arts, Munich",,Oakland,,,female,CV oficial da artista,alto,"CV oficial explicita B.S. em Product Design, M.S. em Mechanical Engineering e Diploma em Applied Graphics.",19,,
,,Stanford University,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
,,Massachusetts Institute of Technology,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Valerie LeBlanc,Canada,Alberta College of Art + Design | School of the Art Institute of Chicago | University of Sydney,,"Halifax, Nova Scotia, Canada",,,female,site da artista | Vtape,médio,"Fontes convergem para graduação em Glass no Alberta College of Art + Design, MFA na School of the Art Institute of Chicago e início de Research PhD na University of Sydney. | fonte usa formulação de origem (“de Halifax” / “Originally from Halifax”), sem certidão ou registro civil.",20; place_of_birth_lote_03; place_of_birth_lote_09,site oficial / FILE Festival,médio
Vera Sebert,Germany,University of Fine Arts Braunschweig | Academy of Fine Arts Vienna,,"Freiburg im Breisgau, Germany",,,female,esc medien kunst labor,alto,Bio institucional informa estudos em Fine Arts entre 2007 e 2015.,nova_tentativa_02; place_of_birth_lote_03,Arts Foundation BW,alto
Yuki Ban,Japan,The University of Tokyo,,,,,male,Universidade de Tóquio (perfil institucional),alto,place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,2; place_of_birth_lote_03; place_of_birth_lote_09,,
Yukun Wang,United Kingdom,West China Hospital,,China,,,,,,,place_of_birth_lote_03,SAIC Fashion Show / site pessoal,médio
Yōhei Yanase,Japan,Seikei University,,Setagaya,,,male,,,,,,
Zeno van den Broek,Kingdom of the Netherlands,TU Delft,,"Rotterdam, Netherlands",,,male,CV oficial do artista,médio,"CV do artista explicita MSc in Architecture na TU Delft, concluído em 2008.",18; place_of_birth_lote_03,site oficial do artista,alto
Zoran Dragelj,Croatia,Emily Carr Institute of Art and Design (ECIAD),,Split,,,male,FILE Festival | bauform.it,médio,Biografia do FILE vincula o artista à Emily Carr University of Art and Design; outra biografia o descreve como graduado pelo então Emily Carr Institute of Art and Design.,nova_tentativa_02,,
A. Bill Miller,United States,University of Wisconsin-Milwaukee,,"Cleveland, Ohio, USA",,,male,University of Wisconsin-Whitewater / Transfer Gallery,médio,Fonte convergente indica MFA pela University of Wisconsin-Milwaukee.,9; place_of_birth_lote_03; place_of_birth_lote_09,dieFirma / Wikipedia,alto
A.L. Crego,Spain,autodidata,,"A Coruña, Spain",,,male,FILE Festival,alto,Biografia do FILE descreve A.L. Crego explicitamente como artesão digital autodidata.,nova_tentativa_02; place_of_birth_lote_03; place_of_birth_lote_09,La Voz de Galicia / ARTEINFORMADO,médio
Aaron Bradbury,Republic of Abkhazia,,,,,,male,,,"Fonte consultada informa degree em Fine Art Painting, mas sem nomear a instituição. | revisto no lote_30: fontes mencionam diploma em fine art painting, sem instituição nomeada | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.",nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_03; place_of_birth_lote_09,,
Abe Abraham,United States,"Tisch School of the Arts, New York University",,,,,male,CURRENTS New Media (bio do artista),médio,place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,1; place_of_birth_lote_03; place_of_birth_lote_09,,
Adam Martinakis,Poland,"estudou Interior Architecture, Decorative Arts and Industrial Design em Atenas",,"Lubań, Poland",,,male,site oficial do artista,baixo,"A fonte oficial explicita a área estudada em Atenas, mas não nomeia a instituição; mantive o registro descritivo com baixa confiança.",19; place_of_birth_lote_03,site oficial do artista,alto
Adam Pizurny,Slovakia,,,Slovakia,,,male,,,Biografias consultadas não nomeiam instituição de ensino; mantido em branco. | revisto no lote_30: sem instituição explicitamente nomeada em fonte confiável localizada,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_03,FILE Festival,alto
Adam Winkels,Canada,,,,,,male,,,Homônimo não desambiguado com instituição de ensino segura; mantido em branco. | revisto no lote_30: sem instituição explicitamente nomeada em fonte confiável localizada | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_02; lote_21; lote_30; place_of_birth_lote_03; place_of_birth_lote_09,,
Adrian Flury,Switzerland,Lucerne University of Applied Sciences and Arts,,"Zug, Switzerland",,,male,videokunst.ch; swissfilms,médio,,1; place_of_birth_lote_03,HSLU / videokunst.ch,alto
Adriano Monteiro,Brazil,Universidade Estadual de Campinas,,,,,male,FILE Festival,médio,"Biografia do FILE explicita bacharelado em composição musical, mestrado e doutorado em andamento na Unicamp. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.",14; place_of_birth_lote_03; place_of_birth_lote_09,,
Adrien Cuvit,France,ARIES School of Graphic and Motion Design,,,,,male,FILE Festival,médio,A página da obra informa que o curta foi realizado por um grupo de 6 alunos da ARIES School. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,10; place_of_birth_lote_03; place_of_birth_lote_09,,
Adrián Regnier,Mexico,"Escuela Nacional de Escultura, Pintura y Grabado ""La Esmeralda"" | Universidad Veracruzana",,Mexico City,,,male,site oficial do artista; Fundación CERGUI,alto,,1,,
Aggie Pak Yee Lee,Hong Kong,Estonian Academy of Arts,,Hong Kong,,,female,Estonian Academy of Arts | FILE Festival,alto,"A fonte do FILE menciona bacharelado em Hong Kong sem nomear a instituição; por segurança, registrei apenas a instituição explicitamente nomeada.",9,,
Agustín Abreu,Uruguay,Universidad Modelo | University of Texas at El Paso | University of Pittsburgh,,,,,male,ORCID,médio,"ORCID explicita licenciatura, mestrado e doutorado; mantive os nomes institucionais como no registro. | place of birth não preenchido por risco de homônimo não desambiguado com segurança.",nova_tentativa_02; lote_21; place_of_birth_lote_03; place_of_birth_lote_09,,
